"forest" "plot" "trait" "CWM" "CWV" "CWS" "CWK"
"95" "Fagus sylvatica" 65 "SLA" 0.439006401310787 0.394174046884884 -0.405748553642092 -1.30075358353229
"96" "Mixed forest" 67 "SLA" -0.24617412464692 0.595195297925742 1.42017866155863 4.05031076731944
"97" "Mixed forest" 68 "SLA" 0.039029230528018 0.812033783131494 1.43084633036371 2.89002410370346
"98" "Mixed forest" 69 "SLA" -0.299552611970067 0.364932182852147 0.525404211442731 0.922288415668203
"99" "Mixed forest" 70 "SLA" -0.141931851875224 1.08587432270245 1.48539186687856 1.81784054511022
"100" "Mixed forest" 71 "SLA" -0.235890172857148 0.613100445610404 0.848756950980335 0.720764719751573
"101" "Quercus petraea" 80 "SLA" 0.745097298252887 1.10372923707021 0.393068075335397 -1.40814439739293
"102" "Shrubland" 83 "SLA" -0.404676692675171 0.268910792734367 -0.157366661432111 -0.200669642408079
"103" "Shrubland" 84 "SLA" -0.516871684829894 0.197720028353159 -0.444834785351933 1.29440709103133
"104" "Quercus petraea" 90 "SLA" 0.665642214057902 1.10784350652606 0.499587609287808 -1.31723631242155
"105" "Quercus petraea" 91 "SLA" 0.679831742731375 1.08903745835892 0.497306023143698 -1.31366259984787
"106" "Quercus petraea" 93 "SLA" 0.982761366049547 1.08863381449349 0.0306499877459877 -1.52268308359079
"107" "Shrubland" 95 "SLA" -0.37111634318583 0.177400311314319 -0.488835812142687 2.01877090685186
"108" "Shrubland" 96 "SLA" -0.801596393651909 0.25201364947514 -0.471788707033748 -0.399514167931941
"109" "Quercus petraea" 102 "SLA" -0.144857054318416 0.149757338041626 2.77300617183461 12.5145000145778
"110" "Quercus petraea" 103 "SLA" -0.0196040707610161 0.363215345729478 2.48541990237018 6.40140929036523
"111" "Quercus petraea" 104 "SLA" 0.673962705463517 1.09220195768727 0.505820415501253 -1.31184214534807
"112" "Shrubland" 105 "SLA" -0.389851884708345 0.293707236897819 -0.0509368780859473 -0.526675137653714
"113" "Shrubland" 106 "SLA" -0.961456229832384 0.364567001093109 0.354968648107232 -1.02035803040023
"114" "Shrubland" 107 "SLA" -1.03979440770276 0.399368738874159 0.398545529907289 -0.441861681987958
"115" "Quercus petraea" 113 "SLA" -0.34093697760544 0.603005836713375 0.822498085985839 1.15361016171288
"116" "Quercus petraea" 114 "SLA" 0.291662783637583 0.871195758095996 1.17970127605292 0.104415968820166
"117" "Quercus petraea" 115 "SLA" -0.00983504938044404 0.378965462377441 2.33515661500449 5.5292036795011
"118" "Shrubland" 116 "SLA" -0.629436634842103 0.338982810199415 0.3127470341481 -0.777423541119814
"119" "Shrubland" 117 "SLA" -0.933230358974704 0.509538417734764 -0.103206824995953 -0.718517344716897
"120" "Shrubland" 118 "SLA" -1.05055380089492 0.475402332547538 -0.0117596204229186 -0.574390291924314
"121" "Quercus pyrenaica" 1 "Thickness" 0.421894367240869 0.529421142459018 1.00947855124033 2.28918893603173
"122" "Quercus pyrenaica" 2 "Thickness" 0.140633884113295 0.678226531761473 0.506503420126696 0.226467921267767
"123" "Quercus pyrenaica" 3 "Thickness" 0.369151374480538 0.46659250478796 0.160908404911788 1.15860935795897
"124" "Quercus pyrenaica" 4 "Thickness" -0.129346467738025 0.939567224434551 0.411506942652177 -0.243908597900981
"125" "Quercus pyrenaica" 5 "Thickness" 0.244148343452605 0.911155618003129 0.218626274617473 0.407599320678384
"126" "Quercus pyrenaica" 6 "Thickness" -0.4564182128594 0.721211166072582 0.529306820725632 -1.14648412408976
"127" "Quercus pyrenaica" 7 "Thickness" -0.0260466035864297 0.99778275407894 0.583859558558693 0.233739994636155
"128" "Quercus pyrenaica" 8 "Thickness" 0.139724556813244 0.890525559547442 0.742482197341301 0.492551150298572
